Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",40.000000,-46.000000,0.000000,top
"C2","10uF","C_0805_2012Metric",48.000000,-46.000000,0.000000,top
"D1","CHG","LED_0805_2012Metric",40.000000,-56.000000,0.000000,top
"D2","SS34","D_SMA",36.360000,-50.000000,90.000000,top
"D3","SS34","D_SMA",36.360000,-57.000000,90.000000,top
"D4","PWR","LED_0805_2012Metric",40.000000,-32.000000,0.000000,top
"F1","1A","Fuse_1206_3216Metric",45.000000,-61.000000,0.000000,top
"J1","USB_C_CHG","USB_C_Receptacle_GCT_USB4085",45.000000,-11.500000,0.000000,top
"J2","BAT","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",45.000000,-66.500000,0.000000,top
"J3","DK_LEFT","PinSocket_1x22_P2.54mm_Vertical",8.500000,-6.000000,0.000000,top
"J4","DK_RIGHT","PinSocket_1x22_P2.54mm_Vertical",31.360000,-6.000000,0.000000,top
"R1","5.1k","R_0805_2012Metric",40.000000,-20.500000,0.000000,top
"R2","5.1k","R_0805_2012Metric",48.000000,-20.500000,0.000000,top
"R3","2k","R_0805_2012Metric",40.000000,-51.000000,0.000000,top
"R4","10k","R_0805_2012Metric",48.000000,-51.000000,0.000000,top
"R5","1k","R_0805_2012Metric",48.000000,-56.000000,90.000000,top
"R6","1k","R_0805_2012Metric",48.000000,-32.000000,90.000000,top
"SW1","PWR_CUT","SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile",40.000000,-26.500000,0.000000,top
"SW2","ESP_CUT","SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile",48.000000,-26.500000,0.000000,top
"U1","TP4056","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias",45.000000,-39.000000,0.000000,top
